No,Title,Link,Tags,Acceptance,Difficulty,abc Company Frequency,Overall Frequency
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,[String][Trie],42.60%,Easy,0,93.47%
1757,Recyclable and Low Fat Products,https://leetcode.com/problems/recyclable-and-low-fat-products/description/,[Database],89.20%,Easy,0,93.44%
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,[Array][Binary Search][Divide and Conquer],39.70%,Hard,0,92.91%
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/description/,[Two Pointers][String],35.60%,Easy,0,92.37%
15,3Sum,https://leetcode.com/problems/3sum/description/,[Array][Two Pointers][Sorting],34.30%,Medium,0,91.83%
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,[Math][Dynamic Programming][Memoization],52.80%,Easy,0,91.62%
1768,Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately/description/,[Two Pointers][String],79.60%,Easy,0,91.47%
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/description/,[Array][Hash Table][String][Sorting],68.40%,Medium,0,90.94%
2781,Length of the Longest Valid Substring,https://leetcode.com/problems/length-of-the-longest-valid-substring/description/,[Array][Hash Table][String][Sliding Window],36.20%,Hard,0,90.47%
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.80%,Medium,0,90.47%
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/description/,[Math][String][Stack],43.50%,Medium,0,89.93%
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,[Array][Math][Binary Search][Prefix Sum][Randomized],46.70%,Medium,0,89.93%
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,[Hash Table][Math][String],60.90%,Easy,0,89.81%
1291,Sequential Digits,https://leetcode.com/problems/sequential-digits/description/,[Enumeration],65.40%,Medium,0,89.40%
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,[Array][Two Pointers][Greedy],55.00%,Medium,0,89.19%
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,[Math],28.50%,Medium,0,88.65%
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/description/,[Array][Binary Search][Dynamic Programming][Sorting],54.70%,Hard,0,88.29%
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/description/,[Dynamic Programming][Prefix Sum],68.90%,Hard,0,88.15%
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum/description/,[Depth-First Search][Breadth-First Search],83.40%,Medium,0,88.13%
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/description/,[Math][String][Simulation],71.90%,Easy,0,88.10%
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/description/,[Array][Hash Table][Prefix Sum],43.50%,Medium,0,87.97%
1650,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description/,[Hash Table][Two Pointers][Tree][Binary Tree],79.30%,Medium,0,87.95%
629,K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array/description/,[Dynamic Programming],50.10%,Hard,0,87.75%
1570,Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/description/,[Array][Hash Table][Two Pointers][Design],89.90%,Medium,0,87.75%
880,Decoded String at Index,https://leetcode.com/problems/decoded-string-at-index/description/,[String][Stack],36.40%,Medium,0,87.64%
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/description/,[Two Pointers][String][Greedy],40.50%,Easy,0,87.33%
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/,[String][Dynamic Programming][Backtracking],74.40%,Medium,0,86.97%
2468,Split Message Based on Limit,https://leetcode.com/problems/split-message-based-on-limit/description/,[String][Binary Search],43.70%,Hard,0,86.87%
2038,Remove Colored Pieces if Both Neighbors are the Same Color,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/description/,[Math][String][Greedy][Game Theory],62.80%,Medium,0,86.49%
2009,Minimum Number of Operations to Make Array Continuous,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/description/,[Array][Binary Search],52.90%,Hard,0,86.18%
661,Image Smoother,https://leetcode.com/problems/image-smoother/description/,[Array][Matrix],67.20%,Easy,0,85.68%
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.40%,Medium,0,85.14%
169,Majority Element,https://leetcode.com/problems/majority-element/description/,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.70%,Easy,0,85.00%
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/description/,[Math],87.60%,Easy,0,84.99%
343,Integer Break,https://leetcode.com/problems/integer-break/description/,[Math][Dynamic Programming],60.30%,Medium,0,84.45%
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/description/,[Database],40.10%,Medium,0,84.34%
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,[Array][Divide and Conquer][Dynamic Programming],50.70%,Medium,0,83.80%
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,[Array][Matrix][Simulation],49.10%,Medium,0,83.69%
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.20%,Medium,0,83.65%
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,[Array][Two Pointers],39.70%,Medium,0,83.20%
48,Rotate Image,https://leetcode.com/problems/rotate-image/description/,[Array][Math][Matrix],74.00%,Medium,0,83.03%
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/description/,[Math][String][Recursion],30.50%,Hard,0,82.96%
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/description/,[Hash Table][String][Counting],82.00%,Medium,0,82.68%
1041,Robot Bounded In Circle,https://leetcode.com/problems/robot-bounded-in-circle/description/,[Math][String][Simulation],55.60%,Medium,0,82.53%
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/description/,[Array][Stack][Monotonic Stack],79.50%,Medium,0,82.42%
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/description/,[Math][Recursion],34.60%,Medium,0,82.05%
1207,Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/description/,[Array][Hash Table],77.00%,Easy,0,81.92%
935,Knight Dialer,https://leetcode.com/problems/knight-dialer/description/,[Dynamic Programming],59.90%,Medium,0,81.38%
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/description/,[Array][Hash Table][Sorting],61.50%,Easy,0,81.30%
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.50%,Medium,0,81.25%
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,[Array][Binary Search],45.90%,Medium,0,81.00%
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/,[Linked List][Recursion],64.10%,Easy,0,80.95%
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/description/,[Array][Math][Dynamic Programming][Sorting],45.20%,Medium,0,80.88%
231,Power of Two,https://leetcode.com/problems/power-of-two/description/,[Math][Bit Manipulation][Recursion],47.70%,Easy,0,80.76%
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.00%,Hard,0,80.65%
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/description/,[Math][Dynamic Programming][Breadth-First Search],54.70%,Medium,0,80.52%
2877,Create a DataFrame from List,https://leetcode.com/problems/create-a-dataframe-from-list/description/,,80.90%,Easy,0,80.36%
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions/description/,[Array][Hash Table][String][Sorting],31.10%,Medium,0,80.15%
2742,Painting the Walls,https://leetcode.com/problems/painting-the-walls/description/,[Array][Dynamic Programming],51.00%,Hard,0,80.10%
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/,[Tree][Depth-First Search][Binary Tree],61.90%,Medium,0,79.90%
1287,Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/description/,[Array],61.00%,Easy,0,79.83%
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/description/,[Array][Dynamic Programming],54.60%,Hard,0,79.83%
867,Transpose Matrix,https://leetcode.com/problems/transpose-matrix/description/,[Array][Matrix][Simulation],71.20%,Easy,0,79.79%
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.70%,Medium,0,79.71%
1611,Minimum One Bit Operations to Make Integers Zero,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero/description/,[Dynamic Programming][Bit Manipulation][Memoization],74.40%,Hard,0,79.70%
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/description/,[Array][Prefix Sum],66.00%,Medium,0,79.60%
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/description/,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.50%,Hard,0,79.57%
1496,Path Crossing,https://leetcode.com/problems/path-crossing/description/,[Hash Table][String],62.40%,Easy,0,79.40%
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/description/,[Array][Two Pointers],61.70%,Easy,0,79.30%
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,[Array][Hash Table][Union Find],47.30%,Medium,0,79.21%
907,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums/description/,[Array][Dynamic Programming][Stack][Monotonic Stack],37.40%,Medium,0,79.19%
2030,Smallest K-Length Subsequence With Occurrences of a Letter,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/description/,[String][Stack][Greedy][Monotonic Stack],38.90%,Hard,0,79.19%
2610,Convert an Array Into a 2D Array With Conditions,https://leetcode.com/problems/convert-an-array-into-a-2d-array-with-conditions/description/,[Array][Hash Table],87.30%,Medium,0,79.03%
198,House Robber,https://leetcode.com/problems/house-robber/description/,[Array][Dynamic Programming],50.90%,Medium,0,78.92%
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,[Hash Table][String][Backtracking],60.10%,Medium,0,78.86%
68,Text Justification,https://leetcode.com/problems/text-justification/description/,[Array][String][Simulation],43.00%,Hard,0,78.47%
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/description/,[Hash Table][String][Queue][Counting],62.10%,Easy,0,78.32%
1531,String Compression II,https://leetcode.com/problems/string-compression-ii/description/,[String][Dynamic Programming],52.80%,Hard,0,78.30%
2483,Minimum Penalty for a Shop,https://leetcode.com/problems/minimum-penalty-for-a-shop/description/,[String][Prefix Sum],67.40%,Medium,0,78.30%
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/description/,[Array][Dynamic Programming],74.00%,Easy,0,78.21%
2870,Minimum Number of Operations to Make Array Empty,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-empty/description/,[Array][Hash Table][Greedy][Counting],61.90%,Medium,0,78.15%
175,Combine Two Tables,https://leetcode.com/problems/combine-two-tables/description/,[Database],75.70%,Easy,0,78.02%
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,[Array][Binary Search][Dynamic Programming],55.10%,Medium,0,77.69%
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/description/,[Array][Binary Search][Design][Queue][Data Stream],68.60%,Medium,0,77.52%
201,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/description/,[Bit Manipulation],46.80%,Medium,0,77.47%
