No,Title,Acceptance,Difficulty,Frequency,Array,Hash Table,String,Sorting,Greedy,Linked List,Depth-First Search,Doubly-Linked List,Design,Divide and Conquer,Interactive,Stack,Data Stream,Math,Randomized,Trie,Recursion,Binary Indexed Tree,Ordered Set,Dynamic Programming,Backtracking,Breadth-First Search,Graph,Simulation,Two Pointers,Binary Search,Queue,Counting,Prefix Sum,Heap (Priority Queue),Matrix,Union Find,Sliding Window,Memoization,Tree,Binary Tree,Bit Manipulation,Binary Search Tree,Shortest Path,Merge Sort,Monotonic Stack,Eulerian Circuit,Quickselect,Database,Topological Sort,Monotonic Queue,Bucket Sort,String Matching
1,Two Sum,52.0%,Easy,0.2671001589725812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Add Two Numbers,42.4%,Medium,0.2584382340087571,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385,Amount of Time for Binary Tree to Be Infected,63.0%,Medium,0.2545298651348804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
138,Copy List with Random Pointer,55.5%,Medium,0.2531049390546943,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823,Find the Winner of the Circular Game,78.2%,Medium,0.2378007091141832,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Valid Anagram,64.3%,Easy,0.2364449318132098,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Robot Bounded In Circle,55.6%,Medium,0.2124355370417375,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Remove Invalid Parentheses,48.0%,Hard,0.1910552367627092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Partition Array for Maximum Sum,76.4%,Medium,0.1735948056557174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,Find Polygon With the Largest Perimeter,66.0%,Medium,0.1728428128394108,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
