Name,Search Keyword,Resource Path,Groups
celix,celix,skill/celix.html,[c++][apache]
centos,centos,skill/centos.html,[linux][red hat]
ceph,ceph,skill/ceph.html,[distributed][storage]
cesiumjs,cesiumjs,skill/cesiumjs.html,[web][javascript][geospatial]
cft,cft,skill/cft.html,[machine learning][python][web development][network][css][backend][programming][cloud][html][google][web][artificial intelligence]
chai,chai,skill/chai.html,[javascript][testing]
chainer,chainer,skill/chainer.html,[web][python][deep learning][network]
chakra ui,chakra ui,skill/chakra ui.html,[web][react]
chart.js,chart.js,skill/chart.js.html,[web][javascript][visualization]
chartblocks,chartblocks,skill/chartblocks.html,[visualization][cloud]
charts.js,charts.js,skill/charts.js.html,[web][javascript]
checkmarx,checkmarx,skill/checkmarx.html,[security][infrastructure][cloud]
checkmk,checkmk,skill/checkmk.html,[storage][network][monitoring][windows][web][user interface][cloud]
checksum,checksum,skill/checksum.html,[programming][protocol][c++]
chef,chef,skill/chef.html,[machine learning][python][google][infrastructure][programming][artificial intelligence][data science]
chroma,chroma,skill/chroma.html,[machine learning][application programming interface][database][artificial intelligence]
ci,ci,skill/ci.html,[machine learning][python][programming][continuous delivery][google][web][continuous integration][artificial intelligence]
circleci,circleci,skill/circleci.html,[testing][web][infrastructure][continuous integration][continuous delivery]
cisco stealthwatch,cisco stealthwatch,skill/cisco stealthwatch.html,[security][python][network][cloud][cisco][application programming interface][analytics][infrastructure]
citrix,citrix,skill/citrix.html,[cloud computing][mobile][cloud]
clair,clair,skill/clair.html,[machine learning][python][microsoft][google][programming][artificial intelligence]
class,class,skill/class.html,[java][web][programming][php]
clearcase,clearcase,skill/clearcase.html,[testing][version control][ibm][devops]
clearquest,clearquest,skill/clearquest.html,[application programming interface][windows][ibm]
clickhouse,clickhouse,skill/clickhouse.html,[database management system][analytics][database][real time analytics][data analytics]
clion,clion,skill/clion.html,[cross platform][c++][integrated development environment]
clojure,clojure,skill/clojure.html,[infrastructure][programming][java][data structures]
cloud bees flow,cloud bees flow,skill/cloud bees flow.html,[application programming interface][devops]
cloud build,cloud build,skill/cloud build.html,[storage][java][continuous delivery][cloud][kubernetes][google][infrastructure][artificial intelligence]
cloud dataprep,cloud dataprep,skill/cloud dataprep.html,[visualization][cloud][google]
cloud sql,cloud sql,skill/cloud sql.html,[google][database][relational database][cloud]
cloud tasks,cloud tasks,skill/cloud tasks.html,[distributed][cloud][google]
cloudera,cloudera,skill/cloudera.html,[data science][apache][analytics][hadoop][data analytics][big data][cloud]
cloudflare,cloudflare,skill/cloudflare.html,[security][web server][network][web][serverless][cloud]
cloudformation,cloudformation,skill/cloudformation.html,[infrastructure][amazon]
cloudfoundry,cloudfoundry,skill/cloudfoundry.html,[security][network][continuous delivery][cloud][kubernetes][linux][infrastructure][web]
cloudfront,cloudfront,skill/cloudfront.html,[css][network][cloud][html][web service][javascript][web][amazon]
cloudsfer,cloudsfer,skill/cloudsfer.html,[storage][google][cloud computing][cloud]
cloudstack,cloudstack,skill/cloudstack.html,[network][storage][apache][web][infrastructure][cloud]
cloudwatch,cloudwatch,skill/cloudwatch.html,[amazon][monitoring]
cmake,cmake,skill/cmake.html,[cross platform]
cnn,cnn,skill/cnn.html,[neural networks][deep learning][network]
cntk,cntk,skill/cntk.html,[neural networks][network][microsoft][deep learning][distributed]
cobalt,cobalt,skill/cobalt.html,[security][mobile][penetration][web][amazon]
