Name,Search Keyword,Resource Path,skills
application programming interface,application programming interface in tech,group/application programming interface.html,[jax-rs][vue.js][esri-leaflet][gstreamer][vulkan][api][ws02 apim][postman][control m][api gateway][swagger][cuda][scalding][keras][webhooks][jsdoc]
penetration,penetration in tech,group/penetration.html,[appcheck][zap][astra][nmap][penetration testing][rapid7][onsecurity]
infrastructure,infrastructure in tech,group/infrastructure.html,[splunk][metricbeat][pagerduty][rundeck][terraform][appdynamics][infrastructure code][titan][hashicorp][zabbix][chef][spacelift][backbone][containerization]
cross platform,cross platform in tech,group/cross platform.html,[gtk][clion][qt][cmake][shadowprotect][corona][avalonia ui][platform uno][uno platform][libgdx][silverlight][opengl][xampp][powershell][appium][unity][titanium][lonic][wax][lando][wxpython][pixijs]
apple,apple in tech,group/apple.html,[arkit][uikit][xcode][appkit]
blockchain,blockchain in tech,group/blockchain.html,[solana][fantom][hyperledger][stellar][neo][tezos][tron][binance smart chain][eos][aptos][corda][quorum][ethereum]
integrated development environment,integrated development environment in tech,group/integrated development environment.html,[rider][intelij idea][intellij][visual studio][arduino ide][pycharm][webstorm][ide][rubymine]
continuous delivery,continuous delivery in tech,group/continuous delivery.html,[argocd][gocd]
data structures,data structures in tech,group/data structures.html,[data modeling][pandas][data structure][list][lru cache][queue][graph][tree][array]
devops,devops in tech,group/devops.html,[buddy][jfrog][artifactory][cloud bees flow][gatling]
java,java in tech,group/java.html,[spring mvc][zipkin][concurrency][guava][rxjava][jpa][java awt][vert.x][jsf][wildfly][dagger][java][ibatis][spock][ooad][spring jpa][pojo][restassured][mockito][servlets][junit][j2ee][javaee][jboss][jee][glassfish][spring][weblogic][jakarta ee][assertj][hazelcast][hibernate][jms][javafx][ehcache][jdbc][tibco ems][jetty][osgi][jndi][gradle][jmx][swt][galen][ognl][java swing][mule][j2se][camunda][uft]
c++,c++ in tech,group/c++.html,[assimp][faiss][c++][resharper c++][raii][conan][boost][glm][xgboost][bazel]
testing,testing in tech,group/testing.html,[sonar qube][robot][semaphore][validata qs][software development life cycle][ranorex][testng][automated testing][ui automator][specflow][test labs][bash scripting][labview][httpunit][qtp][test studio][less]
css,css in tech,group/css.html,[scss][css][tailwind css][bulma][autoprefixer][sass]
system design,system design in tech,group/system design.html,[structured design][caching][monolithic systems][systems design][availability][systems design strategy][structured analysis][scaling]
unix,unix in tech,group/unix.html,[hpux][awk][unix][bsd][solaris][shell script][squid proxy]
backend,backend in tech,group/backend.html,[nestjs][axios]
monitoring,monitoring in tech,group/monitoring.html,[eg innovations][icinga][statsd][opsgenie][prometheus][nagios][sensu][geneos][checkmk][filebeat][whatsup gold][new relic][elastic apm][sentry][cloudwatch][performance monitoring][elastalert][sysdig][raygun][monitoring][axway]
data science,data science in tech,group/data science.html,[data analysis][azkaban][datalore][tidyverse]
storage,storage in tech,group/storage.html,[maxwell][block storage][file storage][azure blobs][object storage][storage][storage area network][tick stack][delta lake][trie][migration][hash table][redux-saga][caches][ceph]
microsoft,microsoft in tech,group/microsoft.html,[sharegate][mircosoft sql][visio][sharepoint][azure synapse analytics][mircosoft visual studio][microsoft systems center][msmq][microsoft game developer kit][ssis][word][mfc][cntk][microsoft sql server][powerpoint][exchange][microsoft quantum][dynamics][microsoft office][dax][bower][excel][ssrs][azure sql database][tfs][t sql][power bi][hyperv][microsoft sql][efs]
behavior driven development,behavior driven development in tech,group/behavior driven development.html,[gherkin][jasmine][rspec][cucumber][behat]
serverless,serverless in tech,group/serverless.html,[bigquery][dataflow][knative][sqlite]
nosql,nosql in tech,group/nosql.html,[mongodb][orientdb][newsql][bigtable][dynamodb]
unknown,unknown in tech,group/unknown.html,[salt][fluentd][odoo][xlm][ses][zeplin][uml][pillow][binary][gis][oauth][docker swarm][data mining][bugzilla]
visualization,visualization in tech,group/visualization.html,[viz][spss][jmp][data visualization][spotfire][birt report][stata][ggplot][elk][matplotlib][kibana][datawrapper][visualization]
continuous integration,continuous integration in tech,group/continuous integration.html,[jenkins][puppet][circleci][zuul][ci][bitrise][teamcity][travis ci]
computer vision,computer vision in tech,group/computer vision.html,[viso suite][skimage][simplecv][opencv][boofcv][computer vision]
html,html in tech,group/html.html,[html][jade template][semantic ui][tauri][iq server][dhtml][bootstrap]
ibm,ibm in tech,group/ibm.html,[websphere][datastage][jcl][ibm cognos analytics][ibm db2][ibm watson][ibm][ibm server][netezza][ibm blockchain][maximo][db2][ibm planning analytics][clearquest][ibm mqbroker][buildforge][cognos tm1][ibm mq][turbonomic][iam]
go,go in tech,group/go.html,[goland][coredns][go][buildkite][go kit]
games,games in tech,group/games.html,[fmod][bullet][rpg maker][godot][unreal engine][open dynamics engine]
deep learning,deep learning in tech,group/deep learning.html,[dl4j][caffe][chainer]
macos,macos in tech,group/macos.html,[cocoa framework][core animation][carthage]
cisco,cisco in tech,group/cisco.html,[ccna][cisco stealthwatch]
linux,linux in tech,group/linux.html,[debian][lxc][container linux][nixos][podman][centos][coreos]
database,database in tech,group/database.html,[dbms][spring transaction management][teradata][datagrip][dbeaver][document databaset][document database][udb][vector database][database sharding][in memory database][redis][query][mybatis][reactivex][dbaas][memorydb][liquibase][neo4j][firebase realtime database][codeigniter][clickhouse][vertica][percona xtradb][chroma][maxscale][graph database]
version control,version control in tech,group/version control.html,[clearcase][perforce]
user interface,user interface in tech,group/user interface.html,[swiftui][ribbon][cocoa touch][mvvm]
game development,game development in tech,group/game development.html,[cocos2d]
php,php in tech,group/php.html,[drupal][laravel][magento][phpstorm][zend][opencart][composer][phpunit][codelgniter][phpspec][symfony][php]
dependencies,dependencies in tech,group/dependencies.html,[sonatype nexus][gemnasium][container][telegraf][yarn][drools][spring boot][docker][koin]
data management,data management in tech,group/data management.html,[core data][whatgraph][sas]
software development kit,software development kit in tech,group/software development kit.html,[cuquantum][flutter][qiskit]
machine learning,machine learning in tech,group/machine learning.html,[pytorch][weka][scikit][kaggle][tensorflow][data manpulation][dataset][dataiku][kubeflow][text analysis][knn][torch][mlib]
data warehouse,data warehouse in tech,group/data warehouse.html,[data mart]
data lake,data lake in tech,group/data lake.html,[datalake][qubole]
analytics,analytics in tech,group/analytics.html,[grafana][sisense][tableau][qilkview][mixpanel][qlik][dremio][dynatrace][qliksense][zoho analytics][statistical analysis][rubrik]
microservice,microservice in tech,group/microservice.html,[dubbo][microservices][lagom][pubsub+][instana]
vmware,vmware in tech,group/vmware.html,[vcenter][sdn][vcloud][vmware certified professional][retrospect solo][vsphere][esxi][tanzu]
extract transform load,extract transform load in tech,group/extract transform load.html,[pentaho][etl][informatica][stitch data]
operating system,operating system in tech,group/operating system.html,[vxworks][posix][openvz][fedora][multiprocessing][fullstack][operating systems][z-os][ubuntu][multithreading][shell][os]
relational database,relational database in tech,group/relational database.html,[microstrategy][non-relational][mariadb][postgis][unstructured datasets][sybase][rdbms][orm][relational][unstructured data][tibero][postgresql][mysql][firebirdsql]
frontend,frontend in tech,group/frontend.html,[frontend][signoz][sparkr][storybook]
geospatial,geospatial in tech,group/geospatial.html,[geoserver][geojson][mapbox]
graphical user interface,graphical user interface in tech,group/graphical user interface.html,[imgui][graphical user interface]
query language,query language in tech,group/query language.html,[xpath][graphql]
sap,sap in tech,group/sap.html,[hana][sap basis][sap abap][sap bi][sap bw]
kubernetes,kubernetes in tech,group/kubernetes.html,[helm][quarkus][portainer][rancher][kustomize][linkerd][kubernetes]
windows,windows in tech,group/windows.html,[mircosoft visual code][windows batch][r-drive image][winui][wsk][windows server][wpf][winforms][uwp][iis][winform][wcf][testcomplete][octopus deploy]
time series,time series in tech,group/time series.html,[timescaledb][influxdb][time series][predictive modeling][kdb]
message queue,message queue in tech,group/message queue.html,[mq][zeromq][ironmq][message queue]
data processing,data processing in tech,group/data processing.html,[logz.io][kapacitor][logstash][talend]
virtual machine,virtual machine in tech,group/virtual machine.html,[kvm][vagrant][packer][virtual machine]
c#,c# in tech,group/c#.html,[linq][nunit][mstest]
markup language,markup language in tech,group/markup language.html,[markdown][yaml][xhtml]
model view controller,model view controller in tech,group/model view controller.html,[mvc][mcv]
nvidia,nvidia in tech,group/nvidia.html,[tensorrt][mdl][physx]
natural language processing,natural language processing in tech,group/natural language processing.html,[spacy][openai][natural language processing][transformers]
neural networks,neural networks in tech,group/neural networks.html,[rnn][opennn]
red hat,red hat in tech,group/red hat.html,[red hat fuse][openshift][ovirt][rhel]
structured query language,structured query language in tech,group/structured query language.html,[pl sql][sql]
quantum,quantum in tech,group/quantum.html,[tensorflow quantum][quantum]
spark,spark in tech,group/spark.html,[spark streaming][spark graphx][sparksql]
hadoop,hadoop in tech,group/hadoop.html,[sqoop]
visual basic,visual basic in tech,group/visual basic.html,[vb script][vba][visual basic][visual basic .net]
xml,xml in tech,group/xml.html,[xml][xsd][xslt][xsl][xmlrpc]
