Name,skills
data lake,[amazon lake formation][lake formation][qubole][data lake][azure data lake][datalake]
serverless,[aws appsync][glue][micronaut][amazon lambda][codedeploy][fargate][bigquery][aws sam][dataflow][knative][google big query][serverless][sqlite][twistlock][azure container]
amazon web,[caches][cognito][elasticip][kinesis][mqtt][amplify][elasticache][redshift][eks][s3][elasticcache][ecs][aws]
android,[hilt][raygun][ui automator][flutter][retrofit 2][android sdk][mvrx][calabash][mvicore][android studio][android ndk][leakcanary][excel][microsoft][xamarin][espresso ][okhttp][android][fastlane][glide][butterknife][andriod jetpack]
angular,[angular.js][angular native][angular]
react,[react hook][codepush][react][nextjs][storybook][antd][rxswift][remix][gatsby][react router][react.js][chakra ui][graphql][react native][material ui]
web server,[apache][subversion][tomcat][http server][web server][iplanet web server][jetty][server][nikto][iis][undertow][xampp][nginx][logging]
web apps,[vercel][oauth2][appcheck][nuxtjs]
infrastructure,[zuul][network][vmware certified professional][tosca][codepipeline][containerization][route53][vcenter][microsoft systems center][appdynamics][heroku][checkmarx][maxscale][cloudfoundry][google compute engine][puppet][vreazlise][azure migration][aws cdk][loopback][titan][ironmq][consul][syslog][zabbix][geneos][infrastructure][infrastructure code][solarwinds][manageengine][splunk][vpc][web][circleci][windows server][nagios][elastic bean stalk][cloudformation][zenoss][backbone][hashicorp][msmq][sdn][pagerduty][spacelift][ibm server][terraform]
user interface,[web development][swiftui][cocoa touch][frontend][imgui][appkit][mvvm][libavg][graphical user interface][web workers][ribbon][cocoa framework][user interface][checkmk][platform uno]
blockchain,[corda][fantom][ethereum][ibm blockchain][icp][hedera][sui network][aptos][solana][ripple][blockchain][stellar][quorum][neo][tezos][iota][eos][binance smart chain][parcel]
docker,[portainer][docker swarm][docker compose][docker][memcached][semaphore][aquasec]
ide,[clion][rubymine][integrated development environment][ide][xcode][arduino ide][webstorm][goland][rider][intelij idea][pycharm][intellij][esp32]
git,[github][mercurial][bitbucket][argocd][code commit][git][gogs][version control]
data structure,[tree][graph][stack][queue][hash table][dataframe][lru cache][trie][list][array][data structure]
devops,[artifactory][clearcase][fortify][gitlab][new relic][sonarcloud][teamcity][tfs][yaml][sensu][perforce][buddy][gatling][statsd][lando][devops][jfrog]
asp.net,[asp.net mvc][devexpress][test studio][messagepack][asp.mvc][aspnet mvc][signalr][asp.net core][asp.net]
c,[celix][c][conan][assimp]
penetration testing,[penetration][onsecurity][penetration testing][rapid7][nmap][astra security][astra][wireshark][zap][cobalt][tenable nessus]
sql,[microsoft sql][database][query][t sql][ssis][azure container storage][mircosoft sql][pl sql][ssrs][ibatis][dbeaver][dremio][structured query language][microsoft sql server][sql][oracle database][azure sql database][yugabytedb][dbms][athena][data warehouse][oracle sql][newsql][sparksql][impala][presto][drill]
relational database,[sqoop][orm][spanner][aurora][oracle][drs][mariadb][rds][phoenix][relational database][rdbms][relational][firebirdsql][derby][tibero]
css,[autoprefixer][tailwind css][css][ulkit][sass][bulma][scss]
system design,[object storage][scaling][block storage][caching][hybrid cloud][availability][public cloud][distributed systems][structured design][systems design][monolithic systems][systems design strategy][structured analysis][database sharding][file storage]
