No,Title,Tags,Acceptance,Difficulty,Frequency
54,Spiral Matrix,[Array][Matrix][Simulation],48.9%,Medium,0.3828597229337993
632,Smallest Range Covering Elements from K Lists,[Array][Hash Table][Greedy][Sliding Window][Sorting][Heap (Priority Queue)],62.3%,Hard,0.37827896780400755
5,Longest Palindromic Substring,[String][Dynamic Programming],33.7%,Medium,0.35137211264558593
394,Decode String,[String][Stack][Recursion],59.0%,Medium,0.3449091275382815
56,Merge Intervals,[Array][Sorting],47.1%,Medium,0.34441738495264856
15,3Sum,[Array][Two Pointers][Sorting],34.2%,Medium,0.342952559874971
1913,Maximum Product Difference Between Two Pairs,[Array][Sorting],82.9%,Easy,0.31732144188640793
118,Pascal's Triangle,[Array][Dynamic Programming],73.9%,Easy,0.3161058258896693
2235,Add Two Integers,[Math],87.5%,Easy,0.31428229265358015
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.2%,Medium,0.3131906492925993
646,Maximum Length of Pair Chain,[Array][Dynamic Programming][Greedy][Sorting],59.7%,Medium,0.3101549283038395
1287,Element Appearing More Than 25% In Sorted Array,[Array],61.1%,Easy,0.30774963550259016
1838,Frequency of the Most Frequent Element,[Array][Binary Search][Greedy][Sliding Window][Sorting][Prefix Sum],45.3%,Medium,0.3074846997479606
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0.29723607098046717
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,0.2971052925690822
329,Longest Increasing Path in a Matrix,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,0.29528667183700025
349,Intersection of Two Arrays,[Array][Hash Table][Two Pointers][Binary Search][Sorting],72.4%,Easy,0.2873491275510859
907,Sum of Subarray Minimums,[Array][Dynamic Programming][Stack][Monotonic Stack],37.4%,Medium,0.2840257612486704
387,First Unique Character in a String,[Hash Table][String][Queue][Counting],62.0%,Easy,0.28276805764935187
875,Koko Eating Bananas,[Array][Binary Search],49.0%,Medium,0.2820099074993145
70,Climbing Stairs,[Math][Dynamic Programming][Memoization],52.8%,Easy,0.2809288634334254
242,Valid Anagram,[Hash Table][String][Sorting],64.3%,Easy,0.27971496975322185
193,Valid Phone Numbers,[Shell],25.8%,Easy,0.27958486221916157
3040,Maximum Number of Operations With the Same Score II,[Array][Dynamic Programming][Memoization],30.7%,Medium,0.27958486221916157
48,Rotate Image,[Array][Math][Matrix],73.8%,Medium,0.2759402545750977
460,LFU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0.25452986513488046
2385,Amount of Time for Binary Tree to Be Infected,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],63.0%,Medium,0.25452986513488046
10,Regular Expression Matching,[String][Dynamic Programming][Recursion],28.1%,Hard,0.24155230072427963
190,Reverse Bits,[Divide and Conquer][Bit Manipulation],57.9%,Easy,0.22760642132910802
315,Count of Smaller Numbers After Self,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],42.4%,Hard,0.22695792338968046
97,Interleaving String,[String][Dynamic Programming],39.7%,Medium,0.22538822116803361
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,0.21680203373908488
643,Maximum Average Subarray I,[Array][Sliding Window],43.1%,Easy,0.21449380973472676
31,Next Permutation,[Array][Two Pointers],39.5%,Medium,0.21193341084059913
796,Rotate String,[String][String Matching],57.7%,Easy,0.21056476910734964
41,First Missing Positive,[Array][Hash Table],37.8%,Hard,0.2078703916939076
1436,Destination City,[Array][Hash Table][String],79.7%,Easy,0.20479441264601322
496,Next Greater Element I,[Array][Hash Table][Stack][Monotonic Stack],72.0%,Easy,0.2037476209666304
740,Delete and Earn,[Array][Hash Table][Dynamic Programming],56.5%,Medium,0.20067069546215116
442,Find All Duplicates in an Array,[Array][Hash Table],73.6%,Medium,0.19977684065403373
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0.19952291915250117
2610,Convert an Array Into a 2D Array With Conditions,[Array][Hash Table],87.3%,Medium,0.19574457712609533
2870,Minimum Number of Operations to Make Array Empty,[Array][Hash Table][Greedy][Counting],61.9%,Medium,0.19574457712609533
45,Jump Game II,[Array][Dynamic Programming][Greedy],40.3%,Medium,0.19478832555908462
1347,Minimum Number of Steps to Make Two Strings Anagram,[Hash Table][String][Counting],82.0%,Medium,0.18658595558041216
238,Product of Array Except Self,[Array][Prefix Sum],65.3%,Medium,0.18539343040283635
451,Sort Characters By Frequency,[Hash Table][String][Sorting][Heap (Priority Queue)][Bucket Sort][Counting],72.4%,Medium,0.18381520905073792
345,Reverse Vowels of a String,[Two Pointers][String],52.6%,Easy,0.1798230348813852
328,Odd Even Linked List,[Linked List],61.4%,Medium,0.17666954336260812
2621,Sleep,,86.1%,Easy,0.1755467047088198
300,Longest Increasing Subsequence,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0.17236495554239675
1773,Count Items Matching a Rule,[Array][String],84.7%,Easy,0.1720973230180951
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.17015985419861304
86,Partition List,[Linked List][Two Pointers],55.9%,Medium,0.1670540846631662
154,Find Minimum in Rotated Sorted Array II,[Array][Binary Search],43.6%,Hard,0.1670540846631662
287,Find the Duplicate Number,[Array][Two Pointers][Binary Search][Bit Manipulation],59.4%,Medium,0.16216675481549436
239,Sliding Window Maximum,[Array][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],46.5%,Hard,0.16050384290244762
1480,Running Sum of 1d Array,[Array][Prefix Sum],86.7%,Easy,0.15843334161925918
1481,Least Number of Unique Integers after K Removals,[Array][Hash Table][Greedy][Sorting][Counting],62.8%,Medium,0.1541506798272583
368,Largest Divisible Subset,[Array][Math][Dynamic Programming][Sorting],45.2%,Medium,0.15355773584309076
78,Subsets,[Array][Backtracking][Bit Manipulation],77.1%,Medium,0.15143748173677285
1235,Maximum Profit in Job Scheduling,[Array][Binary Search][Dynamic Programming][Sorting],54.8%,Hard,0.15123096972392353
217,Contains Duplicate,[Array][Hash Table][Sorting],61.4%,Easy,0.1506958168581181
46,Permutations,[Array][Backtracking],78.0%,Medium,0.14819964372469757
128,Longest Consecutive Sequence,[Array][Hash Table][Union Find],47.3%,Medium,0.14732471475685843
53,Maximum Subarray,[Array][Divide and Conquer][Dynamic Programming],50.6%,Medium,0.1463548980202769
36,Valid Sudoku,[Array][Hash Table][Matrix],59.3%,Medium,0.1462883646887166
9,Palindrome Number,[Math],55.8%,Easy,0.14419816042871783
653,Two Sum IV - Input is a BST,[Hash Table][Two Pointers][Tree][Depth-First Search][Breadth-First Search][Binary Search Tree][Binary Tree],61.2%,Easy,0.14008879317068168
121,Best Time to Buy and Sell Stock,[Array][Dynamic Programming],53.5%,Easy,0.13966539087290322
739,Daily Temperatures,[Array][Stack][Monotonic Stack],65.9%,Medium,0.1387503085003144
240,Search a 2D Matrix II,[Array][Binary Search][Divide and Conquer][Matrix],52.4%,Medium,0.13868338753395068
1291,Sequential Digits,[Enumeration],65.4%,Medium,0.1348842676899421
13,Roman to Integer,[Hash Table][Math][String],60.8%,Easy,0.12899033052196845
3019,Number of Changing Keys,[String],79.5%,Easy,0.1271551754852466
791,Custom Sort String,[Hash Table][String][Sorting],69.8%,Medium,0.12516314295400602
169,Majority Element,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.7%,Easy,0.1234891852332381
91,Decode Ways,[String][Dynamic Programming],34.7%,Medium,0.12327489245733352
98,Validate Binary Search Tree,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],32.8%,Medium,0.12258225849071455
645,Set Mismatch,[Array][Hash Table][Bit Manipulation][Sorting],44.6%,Easy,0.12099331128663167
1009,Complement of Base 10 Integer,[Bit Manipulation],60.8%,Easy,0.11883400790235846
167,Two Sum II - Input Array Is Sorted,[Array][Two Pointers][Binary Search],61.0%,Medium,0.11867869178432791
767,Reorganize String,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0.11743683520286506
863,All Nodes Distance K in Binary Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],64.3%,Medium,0.1147388932751553
210,Course Schedule II,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,0.11433759744908353
309,Best Time to Buy and Sell Stock with Cooldown,[Array][Dynamic Programming],57.9%,Medium,0.11408368723037224
721,Accounts Merge,[Array][Hash Table][String][Depth-First Search][Breadth-First Search][Union Find][Sorting],56.9%,Medium,0.11311480443783152
7,Reverse Integer,[Math],28.4%,Medium,0.11261887810814913
523,Continuous Subarray Sum,[Array][Hash Table][Math][Prefix Sum],28.8%,Medium,0.11060987154397002
278,First Bad Version,[Binary Search][Interactive],44.2%,Easy,0.10973238837921641
560,Subarray Sum Equals K,[Array][Hash Table][Prefix Sum],43.4%,Medium,0.1090999130829226
1492,The kth Factor of n,[Math][Number Theory],66.8%,Medium,0.10763066419236544
168,Excel Sheet Column Title,[Math][String],40.3%,Easy,0.10734155493596446
412,Fizz Buzz,[Math][String][Simulation],71.8%,Easy,0.10711776476069794
493,Reverse Pairs,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],30.6%,Hard,0.10591901888373739
19,Remove Nth Node From End of List,[Linked List][Two Pointers],44.8%,Medium,0.10456654975664978
344,Reverse String,[Two Pointers][String],77.6%,Easy,0.10291851200227456
27,Remove Element,[Array][Two Pointers],56.2%,Easy,0.10128434901653703
206,Reverse Linked List,[Linked List][Recursion],75.7%,Easy,0.10050292165038122
110,Balanced Binary Tree,[Tree][Depth-First Search][Binary Tree],51.6%,Easy,0.09793753498670578
11,Container With Most Water,[Array][Two Pointers][Greedy],54.9%,Medium,0.09635691268943879
24,Swap Nodes in Pairs,[Linked List][Recursion],64.0%,Medium,0.09362342046209744
101,Symmetric Tree,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],56.1%,Easy,0.09352605801082346
122,Best Time to Buy and Sell Stock II,[Array][Dynamic Programming][Greedy],66.0%,Medium,0.09325330941242414
84,Largest Rectangle in Histogram,[Array][Stack][Monotonic Stack],44.0%,Hard,0.09313862629081703
137,Single Number II,[Array][Bit Manipulation],62.2%,Medium,0.09138775158942865
33,Search in Rotated Sorted Array,[Array][Binary Search],40.5%,Medium,0.08883678782708922
17,Letter Combinations of a Phone Number,[Hash Table][String][Backtracking],60.0%,Medium,0.08811420369390927
424,Longest Repeating Character Replacement,[Hash Table][String][Sliding Window],53.5%,Medium,0.0876900332762814
494,Target Sum,[Array][Dynamic Programming][Backtracking],46.6%,Medium,0.08701137698962977
224,Basic Calculator,[Math][String][Stack][Recursion],43.2%,Hard,0.08533960173261773
26,Remove Duplicates from Sorted Array,[Array][Two Pointers],55.0%,Easy,0.08489944378648624
283,Move Zeroes,[Array][Two Pointers],61.6%,Easy,0.08476776738106184
57,Insert Interval,[Array],40.0%,Medium,0.0840831172105414
22,Generate Parentheses,[String][Dynamic Programming][Backtracking],74.2%,Medium,0.08368707237308971
116,Populating Next Right Pointers in Each Node,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.3%,Medium,0.08303522860999034
610,Triangle Judgement,[Database],71.1%,Easy,0.08252102368800351
1662,Check If Two String Arrays are Equivalent,[Array][String],85.3%,Easy,0.08252102368800351
189,Rotate Array,[Array][Math][Two Pointers],40.3%,Medium,0.08004270767353643
18,4Sum,[Array][Two Pointers][Sorting],36.1%,Medium,0.07735814230286744
1768,Merge Strings Alternately,[Two Pointers][String],79.5%,Easy,0.07547191871661688
175,Combine Two Tables,[Database],75.6%,Easy,0.07350246199292652
647,Palindromic Substrings,[String][Dynamic Programming],69.9%,Medium,0.07302513501488987
367,Valid Perfect Square,[Math][Binary Search],43.6%,Easy,0.0715869066639981
706,Design HashMap,[Array][Hash Table][Linked List][Design][Hash Function],65.7%,Easy,0.07133147800542972
144,Binary Tree Preorder Traversal,[Stack][Tree][Depth-First Search][Binary Tree],69.1%,Easy,0.06810498069141027
127,Word Ladder,[Hash Table][String][Breadth-First Search],38.8%,Hard,0.06713930283762853
136,Single Number,[Array][Bit Manipulation],72.5%,Easy,0.06611246338670829
234,Palindrome Linked List,[Linked List][Two Pointers][Stack][Recursion],51.8%,Easy,0.06566910350785725
82,Remove Duplicates from Sorted List II,[Linked List][Two Pointers],47.1%,Medium,0.06527602314645073
21,Merge Two Sorted Lists,[Linked List][Recursion],64.0%,Easy,0.06465539915879236
733,Flood Fill,[Array][Depth-First Search][Breadth-First Search][Matrix],63.6%,Easy,0.06412452816953867
204,Count Primes,[Array][Math][Enumeration][Number Theory],33.5%,Medium,0.06351340572232586
225,Implement Stack using Queues,[Stack][Design][Queue],63.3%,Easy,0.06271647386762642
380,Insert Delete GetRandom O(1),[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0.06222847139840936
2149,Rearrange Array Elements by Sign,[Array][Two Pointers][Simulation],83.9%,Medium,0.06222847139840936
509,Fibonacci Number,[Math][Dynamic Programming][Recursion][Memoization],70.8%,Easy,0.061960627359177074
38,Count and Say,[String],54.5%,Medium,0.05901417143705527
322,Coin Change,[Array][Dynamic Programming][Breadth-First Search],43.6%,Medium,0.058344477729916244
51,N-Queens,[Array][Backtracking],67.7%,Hard,0.058155920157074034
876,Middle of the Linked List,[Linked List][Two Pointers],77.3%,Easy,0.05686939649689632
1470,Shuffle the Array,[Array],88.4%,Easy,0.05603706810771108
2877,Create a DataFrame from List,,80.7%,Easy,0.05564717871439152
680,Valid Palindrome II,[Two Pointers][String][Greedy],40.4%,Easy,0.055569851154810765
1045,Customers Who Bought All Products,[Database],61.4%,Medium,0.054883456985091984
540,Single Element in a Sorted Array,[Array][Binary Search],59.0%,Medium,0.05421381659414747
912,Sort an Array,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Merge Sort][Bucket Sort][Radix Sort][Counting Sort],56.9%,Medium,0.053994220576736765
1672,Richest Customer Wealth,[Array][Matrix],87.8%,Easy,0.05363215491579521
153,Find Minimum in Rotated Sorted Array,[Array][Binary Search],50.1%,Medium,0.051234881466595814
1174,Immediate Food Delivery II,[Database],51.2%,Medium,0.05083686690269261
43,Multiply Strings,[Math][String][Simulation],40.1%,Medium,0.04927104900678274
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.04900272661044917
74,Search a 2D Matrix,[Array][Binary Search][Matrix],49.8%,Medium,0.048553225416990746
94,Binary Tree Inorder Traversal,[Stack][Tree][Depth-First Search][Binary Tree],75.8%,Easy,0.04842258467622871
143,Reorder List,[Linked List][Two Pointers][Stack][Recursion],56.0%,Medium,0.047684838131185944
567,Permutation in String,[Hash Table][Two Pointers][String][Sliding Window],44.3%,Medium,0.04729013504145709
1071,Greatest Common Divisor of Strings,[Math][String],51.5%,Easy,0.04720330913602542
34,Find First and Last Position of Element in Sorted Array,[Array][Binary Search],44.0%,Medium,0.046091107200267
196,Delete Duplicate Emails,[Database],61.6%,Easy,0.04541075318060711
138,Copy List with Random Pointer,[Hash Table][Linked List],55.5%,Medium,0.04505266394094313
342,Power of Four,[Math][Bit Manipulation][Recursion],47.9%,Easy,0.04450122467051005
25,Reverse Nodes in k-Group,[Linked List][Recursion],58.1%,Hard,0.044255009004040724
50,"Pow(x, n)",[Math][Recursion],34.5%,Medium,0.04304825356851367
69,Sqrt(x),[Math][Binary Search],38.5%,Easy,0.04180822530231373
75,Sort Colors,[Array][Two Pointers][Sorting],61.7%,Medium,0.04171132918628642
16,3Sum Closest,[Array][Two Pointers][Sorting],45.7%,Medium,0.04090549834060343
771,Jewels and Stones,[Hash Table][String],88.5%,Easy,0.038136175190995616
704,Binary Search,[Array][Binary Search],57.2%,Easy,0.03766135463631043
2620,Counter,,80.2%,Easy,0.03496859783774675
134,Gas Station,[Array][Greedy],45.6%,Medium,0.03472571137382968
230,Kth Smallest Element in a BST,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],72.2%,Medium,0.03451593709018879
139,Word Break,[Array][Hash Table][String][Dynamic Programming][Trie][Memoization],46.6%,Medium,0.03436764350420778
76,Minimum Window Substring,[Hash Table][String][Sliding Window],42.7%,Hard,0.03364488914272426
1251,Average Selling Price,[Database],43.6%,Easy,0.033503971231401815
202,Happy Number,[Hash Table][Math][Two Pointers],55.9%,Easy,0.033060862260888106
1757,Recyclable and Low Fat Products,[Database],89.2%,Easy,0.03275401966872916
485,Max Consecutive Ones,[Array],58.6%,Easy,0.031951599806602365
6,Zigzag Conversion,[String],47.4%,Medium,0.031548357734925946
152,Maximum Product Subarray,[Array][Dynamic Programming],35.0%,Medium,0.02987526143382911
35,Search Insert Position,[Array][Binary Search],45.5%,Easy,0.028710105882431374
67,Add Binary,[Math][String][Bit Manipulation][Simulation],53.3%,Easy,0.028072018778686394
83,Remove Duplicates from Sorted List,[Linked List],52.2%,Easy,0.027455396452354876
570,Managers with at Least 5 Direct Reports,[Database],51.4%,Medium,0.02582454680397029
155,Min Stack,[Stack][Design],53.8%,Medium,0.025807883955872597
39,Combination Sum,[Array][Backtracking],71.0%,Medium,0.02511117506693104
125,Valid Palindrome,[Two Pointers][String],47.0%,Easy,0.024417925045724403
8,String to Integer (atoi),[String],17.1%,Medium,0.02168106606132404
80,Remove Duplicates from Sorted Array II,[Array][Two Pointers],57.4%,Medium,0.02128872309084186
215,Kth Largest Element in an Array,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,0.02075839977178062
102,Binary Tree Level Order Traversal,[Tree][Breadth-First Search][Binary Tree],66.8%,Medium,0.019980684690483426
268,Missing Number,[Array][Hash Table][Math][Binary Search][Bit Manipulation][Sorting],66.4%,Easy,0.01900294712561538
151,Reverse Words in a String,[Two Pointers][String],40.9%,Medium,0.018018505502678313
543,Diameter of Binary Tree,[Tree][Depth-First Search][Binary Tree],59.9%,Easy,0.01775457201238533
584,Find Customer Referee,[Database],69.4%,Easy,0.017101742152143374
55,Jump Game,[Array][Dynamic Programming][Greedy],38.5%,Medium,0.01691372244206185
28,Find the Index of the First Occurrence in a String,[Two Pointers][String][String Matching],41.9%,Easy,0.013042245516450255
