No,Title,Link,Tags,Acceptance,Difficulty,Frequency
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/description/,[Array][Binary Search][Dynamic Programming][Sorting],54.70%,Hard,90.50%
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.80%,Medium,89.95%
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/description/,[Math][String][Simulation],71.80%,Easy,89.93%
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,[Array][Two Pointers][Greedy],55.00%,Medium,89.38%
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/description/,[Two Pointers][String],35.50%,Easy,89.22%
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,[Hash Table][Math][String],60.80%,Easy,88.98%
2038,Remove Colored Pieces if Both Neighbors are the Same Color,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/description/,[Math][String][Greddy][Game Theory],62.80%,Medium,88.96%
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,[Math],28.40%,Medium,88.81%
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/,[String][Dynamic Programming][Backtracking],74.30%,Medium,88.26%
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/description/,[Two Pointers][String][Greedy],40.40%,Easy,88.24%
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/description/,[Math][String][Stack],43.40%,Medium,88.05%
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/description/,[Math],87.50%,Easy,88.03%
1570,Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/description/,[Array][Hash Table][Two Pointers][Design],89.90%,Medium,87.51%
2781,Length of the Longest Valid Substring,https://leetcode.com/problems/length-of-the-longest-valid-substring/description/,[Array][Hash Table][String][Sliding Window],35.80%,Hard,87.36%
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/description/,[Array][Hash Table][Prefix Sum],43.40%,Medium,87.30%
1650,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description/,[Hash Table][Two Pointers][Tree][Binary Tree],79.20%,Medium,87.05%
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum/description/,[Depth-First Search][Breadth-First Search],83.30%,Medium,87.00%
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.10%,Medium,86.88%
629,K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array/description/,[Dynamic Programming],50.10%,Hard,86.33%
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.40%,Medium,85.78%
1291,Sequential Digits,https://leetcode.com/problems/sequential-digits/description/,[Enumeration],65.40%,Medium,85.27%
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,[Array][Math][Binary Search][Prefix Sum][Randomized],46.60%,Medium,84.82%
1041,Robot Bounded In Circle,https://leetcode.com/problems/robot-bounded-in-circle/description/,[Math][String][Simulation],55.60%,Medium,84.62%
1531,String Compression II,https://leetcode.com/problems/string-compression-ii/description/,[String][Dynamic Programming],52.80%,Hard,84.58%
343,Integer Break,https://leetcode.com/problems/integer-break/description/,[Math][Dynamic Programming],60.20%,Medium,84.03%
48,Rotate Image,https://leetcode.com/problems/rotate-image/description/,[Array][Math][Matrix],73.90%,Medium,83.70%
169,Majority Element,https://leetcode.com/problems/majority-element/description/,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.70%,Easy,83.62%
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/description/,[Array][Hash Table][Sorting],61.50%,Easy,83.54%
1207,Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/description/,[Array][Hash Table],77.00%,Easy,83.52%
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,[Array][Two Pointers],39.60%,Medium,82.96%
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/description/,[Math][String][Recursion],30.50%,Hard,82.94%
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/description/,[Array][Stack][Monotonic Stack],79.40%,Medium,82.73%
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,[Array][Divide and Conquer][Dynamic Programming],50.60%,Medium,82.63%
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,[Array][Matrix][Simulation],49.00%,Medium,82.20%
880,Decoded String at Index,https://leetcode.com/problems/decoded-string-at-index/description/,[String][Stack],36.40%,Medium,81.77%
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/,[Linked List][Recursion],64.00%,Easy,81.63%
2851,String Transformation,https://leetcode.com/problems/string-transformation/description/,[Math][String][Dynamic Programming][String Matching],29.00%,Hard,81.62%
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.10%,Hard,81.54%
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/description/,[Math][Dynamic Programming][Breadth-First Search],54.70%,Medium,81.03%
661,Image Smoother,https://leetcode.com/problems/image-smoother/description/,[Array][Matrix],67.10%,Easy,80.80%
1458,Max Dot Product of Two Subsequences,https://leetcode.com/problems/max-dot-product-of-two-subsequences/description/,[Array][Dynamic Programming],62.50%,Hard,80.25%
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/description/,[Math][Recursion],34.60%,Medium,80.22%
2468,Split Message Based on Limit,https://leetcode.com/problems/split-message-based-on-limit/description/,[String][Binary Search],43.60%,Hard,80.03%
935,Knight Dialer,https://leetcode.com/problems/knight-dialer/description/,[Dynamic Programming],59.90%,Medium,79.79%
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/description/,[String][Stack][Greedy][Monotonic Stack],49.40%,Medium,79.75%
2513,Minimize the Maximum of Two Arrays,https://leetcode.com/problems/minimize-the-maximum-of-two-arrays/description/,[Math][Binary Search][Number Theory],29.20%,Medium,79.69%
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/description/,[Array][Two Pointers],61.60%,Easy,79.57%
780,Reaching Points,https://leetcode.com/problems/reaching-points/description/,[Math],33.10%,Hard,79.53%
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/description/,[Array][Binary Search][Design][Queue][Data Stream],68.60%,Medium,79.19%
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.70%,Medium,79.17%
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/description/,[Database],40.00%,Medium,79.14%
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,[Array][Hash Table][Union Find],47.30%,Medium,78.74%
1268,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system/description/,[Array][String][Binary Search][Trie][Sorting][Heap (Priority Queue)],65.30%,Medium,78.71%
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/description/,[Dynamic Programming][Prefix Sum],68.90%,Hard,78.56%
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/description/,[Array][Dynamic Programming],73.90%,Easy,78.54%
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions/description/,[Array][Hash Table][String][Sorting],31.20%,Medium,78.47%
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,[Hash Table][String][Backtracking],60.00%,Medium,78.46%
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,[Array][Binary Search],45.90%,Medium,78.45%
799,Champagne Tower,https://leetcode.com/problems/champagne-tower/description/,[Dynamic Programming],58.00%,Medium,78.03%
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/description/,[Array][Stack][Monotonic Stack],65.90%,Medium,78%
198,House Robber,https://leetcode.com/problems/house-robber/description/,[Array][Dynamic Programming],50.90%,Medium,77.88%
1287,Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/description/,[Array],61.10%,Easy,77.84%
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/description/,[Array][Binary Search],49.00%,Medium,77.83%
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/description/,[Array][Dynamic Programming],54.60%,Hard,77.58%
1481,Least Number of Unique Integers after K Removals,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/description/,[Array][Hash Table][Greedy][Sorting][Counting],62.80%,Medium,77.57%
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/description/,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.30%,Hard,77.39%
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/description/,[Hash Table][String][Counting],82.00%,Medium,77.33%
68,Text Justification,https://leetcode.com/problems/text-justification/description/,[Array][String][Simulation],42.80%,Hard,77.30%
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/description/,[Array][Math][Dynamic Programming][Sorting],45.20%,Medium,77.25%
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/description/,[Hash Table][String][Sorting],64.30%,Easy,77.23%
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.50%,Medium,77.20%
2870,Minimum Number of Operations to Make Array Empty,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-empty/description/,[Array][Hash Table][Greedy][Counting],61.90%,Medium,77.03%
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/description/,[Array][Hash Table],37.80%,Hard,76.91%
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description/,[Array][Two Pointers],55.10%,Easy,76.88%
847,Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes/description/,[Dynamic Programming][Bit Manipulation][Breadth-First Search][Graph][Bitmask],65.60%,Hard,76.86%
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/description/,[Hash Table][String][Queue][Counting],62.00%,Easy,76.82%
2877,Create a DataFrame from List,https://leetcode.com/problems/create-a-dataframe-from-list/description/,nan,80.70%,Easy,76.75%
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/description/,[Array][Hash Table][Matrix],59.40%,Medium,76.35%
