No,Title,Acceptance,Difficulty,Frequency,String,Stack,Array,Hash Table,Breadth-First Search,Math,Binary Search,Matrix,Interactive,Divide and Conquer,Tree,Depth-First Search,Union Find,Graph,Shortest Path,Queue,Sliding Window,Heap (Priority Queue),Ordered Set,Monotonic Queue,Sorting,Prefix Sum,Topological Sort,Dynamic Programming,Eulerian Circuit,Backtracking,Trie,Bucket Sort,Counting,Recursion,Bit Manipulation,Greedy,Randomized,Design,Two Pointers,Monotonic Stack,Binary Search Tree,Binary Tree,Linked List,Doubly-Linked List,String Matching,Hash Function
36,Valid Sudoku,59.3%,Medium,0.0248923866926287,0,0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Set Matrix Zeroes,55.0%,Medium,0.0241996080163588,0,0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Merge Intervals,47.1%,Medium,0.0201011793210872,0,0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
102,Binary Tree Level Order Traversal,66.8%,Medium,0.0199806846904834,0,0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
27,Remove Element,56.2%,Easy,0.0193888021164781,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
69,Sqrt(x),38.5%,Easy,0.0187975459675023,0,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Move Zeroes,61.6%,Easy,0.0140550451436444,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
21,Merge Two Sorted Lists,64.0%,Easy,0.0106299167286002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
2,Add Two Numbers,42.4%,Medium,0.0097017496352157,0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
15,3Sum,34.2%,Medium,0.0096363068001807,0,0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
20,Valid Parentheses,40.5%,Easy,0.0073923825831765,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
